startup_id,dd,expert_score,adj_overall_score,adj_expert_score,overall_score,overall_confidence,market_potential_score,market_potential_confidence,solution_viability_score,solution_viability_confidence,team_capability_score,team_capability_confidence,initial_traction_score,initial_traction_confidence
S008,True,4.2,4.59,3.51924,3.75,6.25,4,7,4,6,3,5,4,7
S011,True,3.6,3.74,3.16692,3.25,5.75,3,6,4,6,3,5,3,6
S004,True,4.3,2.89,3.57796,2.75,5.75,4,7,3,5,2,4,2,7
S053,False,3.3,2.46,2.99076,2.5,6.25,3,6,3,6,3,5,1,8
S052,False,3.4,2.89,3.04948,2.75,6.25,3,6,3,5,3,6,2,8
S103,False,2.4,1.61,2.46228,2.0,5.75,2,6,2,5,2,5,2,7
S076,False,2.8,3.32,2.69716,3.0,6.0,3,6,3,6,3,5,3,7
S005,True,4.3,4.59,3.57796,3.75,6.0,4,6,4,6,3,5,4,7
S044,False,3.2,4.17,2.93204,3.5,6.75,4,7,3,6,4,7,3,7
S009,True,4.0,4.17,3.4018,3.5,5.5,3,5,4,6,3,5,4,6
S110,False,1.4,1.61,1.87508,2.0,7.0,2,7,2,7,2,7,2,7
S037,True,3.7,4.17,3.22564,3.5,6.0,4,7,4,6,3,5,3,6
S015,True,4.0,4.59,3.4018,3.75,6.5,4,7,4,6,3,6,4,7
S001,True,4.5,4.59,3.6954,3.75,6.0,4,7,4,6,3,5,4,6
S071,False,3.1,2.89,2.87332,2.75,4.75,2,5,3,4,3,5,3,5
S041,True,3.6,4.17,3.16692,3.5,5.5,4,6,4,6,3,5,3,5
S116,False,1.3,1.19,1.81636,1.75,7.0,1,8,1,8,3,5,2,7
S023,True,3.9,3.74,3.34308,3.25,5.75,4,7,3,5,3,5,3,6
S072,False,3.1,3.74,2.87332,3.25,5.75,3,6,3,6,4,6,3,5
S113,False,2.0,1.61,2.2274,2.0,5.75,2,5,3,5,2,5,1,8
S069,False,3.2,2.04,2.93204,2.25,6.25,3,6,2,6,3,5,1,8
S054,False,3.3,3.74,2.99076,3.25,5.5,3,5,3,5,4,7,3,5
S032,False,3.3,4.17,2.99076,3.5,6.5,3,6,4,6,4,7,3,7
S033,True,3.7,4.59,3.22564,3.75,6.25,3,5,4,6,4,7,4,7
S034,True,3.6,4.59,3.16692,3.75,6.0,4,7,4,6,3,5,4,6
S070,False,3.2,2.89,2.93204,2.75,5.75,3,6,3,6,3,5,2,6
S055,False,3.3,3.74,2.99076,3.25,6.25,4,7,3,6,3,5,3,7
S055,False,3.2,3.74,2.93204,3.25,6.25,4,7,3,6,3,5,3,7
S002,True,4.4,5.02,3.63668,4.0,6.75,4,7,4,6,4,7,4,7
S042,True,3.6,2.89,3.16692,2.75,5.5,3,6,3,5,2,5,3,6
S085,False,3.0,2.89,2.8146,2.75,6.0,3,6,3,6,3,5,2,7
S088,False,3.0,3.32,2.8146,3.0,5.0,4,7,3,5,2,3,3,5
S051,False,3.4,2.89,3.04948,2.75,6.0,3,6,3,6,3,5,2,7
S021,True,4.0,2.89,3.4018,2.75,6.0,3,6,3,5,3,5,2,8
S026,True,3.8,3.32,3.28436,3.0,6.0,3,5,3,5,4,7,2,7
